Energy,Thickness,A,x0,Count
55.0,5.5,,9.131424423644724,997.0
54.0,8.5,,9.143087530279129,712.0
55.0,6.0,,8.781225776952622,1002.0
54.0,9.0,,8.650796155302963,718.0
55.0,6.5,,9.191164095537772,936.0
54.0,9.5,,7.827395393832977,627.0
55.0,7.0,,8.711487184388544,914.0
54.0,10.0,,8.17173004362653,556.0
55.0,7.5,,8.549224449572886,888.0
55.0,8.0,,8.112764292524243,830.0
56.0,5.0,,10.02118875996339,1004.0
56.0,5.5,,9.40649251071261,1031.0
55.0,8.5,,8.78291941386181,752.0
55.0,9.0,,9.146708347495382,735.0
56.0,6.0,,9.39089399064876,1014.0
56.0,6.5,,9.188090182842458,987.0
55.0,9.5,,8.286264003160746,643.0
56.0,7.0,,8.669212646778245,957.0
56.0,7.5,,8.754234106775833,890.0
55.0,10.0,,8.16587161448482,578.0
56.0,8.0,,8.162193441610436,927.0
57.0,5.0,,9.883000479127736,1031.0
56.0,8.5,,9.033271644459058,838.0
57.0,5.5,,9.788571370138776,1040.0
57.0,6.0,,9.2583111351744,1097.0
56.0,9.0,,8.531572312645034,800.0
56.0,9.5,,8.303046647453625,735.0
57.0,6.5,,8.959248216738196,1000.0
56.0,10.0,,9.078968422452167,674.0
57.0,7.0,,8.464526273504974,993.0
57.0,7.5,,8.428925892706983,935.0
57.0,8.0,,8.383690599559362,935.0
58.0,5.0,,10.32268708771478,1045.0
57.0,8.5,,9.154556156769784,850.0
58.0,5.5,,9.948330433142653,1101.0
57.0,9.0,,8.876551546499199,822.0
57.0,9.5,,8.9416101251879,788.0
58.0,6.0,,9.021585891727414,1088.0
57.0,10.0,,9.695075436837756,708.0
58.0,6.5,,9.177410797512731,1019.0
58.0,7.0,,9.057005954628544,1004.0
58.0,7.5,,8.021970368900037,1017.0
58.0,8.0,,8.52714746821897,927.0
59.0,5.0,,10.67231178831763,1076.0
58.0,8.5,,8.767247818168837,872.0
59.0,5.5,,9.521791624119963,1141.0
58.0,9.0,,8.754676095943312,835.0
59.0,6.0,,9.449849203081788,1099.0
58.0,9.5,,8.572165229852224,809.0
59.0,6.5,,9.5476785325371,1069.0
58.0,10.0,,8.52245338991912,731.0
59.0,7.0,,9.65789537139666,1124.0
59.0,7.5,,8.865365030033557,1121.0
59.0,8.0,,8.968344284178578,1023.0
60.0,5.0,,10.272098329639098,1160.0
60.0,5.5,,10.126473084246472,1139.0
59.0,8.5,,9.172488854220342,874.0
60.0,6.0,,9.44824621556898,1163.0
59.0,9.0,,8.871857885961894,891.0
60.0,6.5,,9.512315539587984,1103.0
59.0,9.5,,8.341853764477953,816.0
60.0,7.0,,8.82301618654664,1174.0
59.0,10.0,,8.07744261295528,753.0
60.0,7.5,,9.085790319700925,1152.0
60.0,8.0,,8.524423080159107,1104.0
61.0,5.0,,10.71832877116142,1194.0
60.0,8.5,,8.854333459476788,985.0
61.0,5.5,,10.336632539921586,1215.0
61.0,6.0,,10.02356523341686,1184.0
60.0,9.0,,8.548266152037671,970.0
61.0,6.5,,9.616751150297196,1183.0
60.0,9.5,,8.469727105589893,855.0
60.0,10.0,,8.794405545606276,812.0
61.0,7.0,,9.187536493292145,1216.0
61.0,7.5,,9.422606523614698,1177.0
61.0,8.0,,8.87212185735721,1114.0
62.0,5.0,,11.099911624225824,1221.0
62.0,5.5,,10.62874089537074,1297.0
61.0,8.5,,9.076032817908938,1020.0
61.0,9.0,,9.555822579880912,1023.0
62.0,6.0,,9.793699320610235,1304.0
62.0,6.5,,9.580265215053236,1250.0
61.0,9.5,,9.151161201277397,919.0
61.0,10.0,,8.820883269511269,817.0
62.0,7.0,,9.745215295939056,1227.0
62.0,7.5,,9.526320413810677,1239.0
62.0,8.0,,9.477704954147022,1188.0
63.0,5.0,,10.929329091012098,1208.0
62.0,8.5,,9.057742255832755,1069.0
63.0,5.5,,10.429190616019527,1338.0
62.0,9.0,,9.854259894165674,995.0
63.0,6.0,,10.347286415741312,1325.0
63.0,6.5,,10.42019966179216,1320.0
62.0,9.5,,8.260165364544083,1001.0
63.0,7.0,,9.74688078215188,1282.0
62.0,10.0,,8.180318963164105,921.0
63.0,7.5,,9.50620016233868,1264.0
63.0,8.0,,9.473406464104352,1207.0
64.0,5.0,,11.055424513394565,1295.0
64.0,5.5,,10.21055633263722,1373.0
63.0,8.5,,9.132143878534254,1143.0
64.0,6.0,,10.7408131000918,1354.0
63.0,9.0,,9.045229641476942,1098.0
64.0,6.5,,9.905174188203604,1379.0
63.0,9.5,,9.228286677202568,1012.0
63.0,10.0,,8.337054048283862,946.0
64.0,7.0,,10.290375309773218,1324.0
64.0,7.5,,9.586085933459929,1316.0
64.0,8.0,,10.256404957526907,1229.0
65.0,5.0,,10.63590790928124,1317.0
65.0,5.5,,10.83440990782384,1373.0
64.0,8.5,,9.783420227356508,1189.0
65.0,6.0,,10.8633735265762,1426.0
64.0,9.0,,9.69632118391559,1127.0
65.0,6.5,,9.6688262567013,1431.0
64.0,9.5,,9.51822460463331,1017.0
65.0,7.0,,9.695676091187217,1391.0
64.0,10.0,,8.4883513785317,964.0
65.0,7.5,,9.428965811601763,1347.0
